,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
2857,Kepler-244 c,Kepler-244,9.767292,0.087,2.05,4.86,0.0,81.57,791.0,nan,5554.0,0.8,0.93,0.07,4.58,,564.6420763394298,Too Hot,Super-Earth,0.0,0.43855579882710527,0.8184446988496967,Mixed-Members
2858,Kepler-244 d,Kepler-244,20.050401,0.14,2.31,15.2,0.0,31.27,622.0,nan,5554.0,0.8,0.93,0.07,4.58,,387.2877011628108,Too Hot,Super-Earth,0.0,0.43855579882710527,0.8184446988496967,Mixed-Members
2859,Kepler-245 b,Kepler-245,7.49019,0.071,2.57,7.13,0.0,77.75,753.0,nan,5100.0,0.8,0.86,0.12,4.56,,578.4408789033992,Too Hot,Neptune-Like,0.0,0.3697885496071312,0.6901093975514639,Mixed-Members
2860,Kepler-245 c,Kepler-245,17.460812,0.124,2.18,225.6,0.0,25.15,568.0,nan,5100.0,0.8,0.86,0.12,4.56,,371.24080243902904,Too Hot,Super-Earth,0.0,0.3697885496071312,0.6901093975514639,Mixed-Members
2861,Kepler-245 d,Kepler-245,36.277108,0.202,3.03,21.6,0.0,9.49,445.0,nan,5100.0,0.8,0.86,0.12,4.56,,231.7257261913051,Too Hot,Neptune-Like,0.0,0.3697885496071312,0.6901093975514639,Mixed-Members
2862,Kepler-245 e,Kepler-245,3.21982106,0.04053,1.75,3.71,0.0,240.15,998.0,nan,5174.0,0.8,0.86,0.05,4.57,,870.3288125047674,Too Hot,Super-Earth,0.0,0.38059752151567056,0.7102813934120112,Mixed-Members
2863,Kepler-246 b,Kepler-246,4.60182,0.052,2.34,6.08,0.0,141.61,896.0,nan,5206.0,0.83,0.85,0.2,4.56,,761.4835189810284,Too Hot,Neptune-Like,0.0,0.3997693922715244,0.7460604573968568,Mixed-Members
2864,Kepler-246 c,Kepler-246,11.187161,0.095,1.5,2.86,0.0,43.21,667.0,nan,5206.0,0.83,0.85,0.2,4.56,,492.3168954796664,Too Hot,Super-Earth,0.0,0.3997693922715244,0.7460604573968568,Mixed-Members
2865,Kepler-247 b,Kepler-247,3.33616,0.042,1.64,3.33,0.0,216.11,970.0,nan,5100.0,0.77,0.89,0.3,4.61,,813.1152823527706,Too Hot,Super-Earth,0.0,0.35592147899686377,0.664230295143284,Mixed-Members
2866,Kepler-247 c,Kepler-247,9.439452,0.084,4.09,15.7,0.0,53.9,686.0,nan,5100.0,0.77,0.89,0.3,4.61,,494.9555473191639,Too Hot,Neptune-Like,0.0,0.35592147899686377,0.664230295143284,Mixed-Members
